iter	MAE
0	116337.5927
1	115968.1869
2	115598.8866
3	115215.3466
4	114808.1591
5	114500.817
6	114129.5847
7	113770.4211
8	113444.9003
9	113109.3466
10	112788.6812
11	109506.0927
12	109206.7647
13	108916.4653
14	108655.5693
15	108371.9316
16	108124.9772
17	107854.696
18	107619.3789
19	107370.3253
20	107101.3988
21	106883.9941
22	106692.6585
23	106527.8052
24	106314.4759
25	106098.8752
26	105905.3493
27	105715.7586
28	105545.8894
29	105400.3326
30	105235.6095
31	105089.0417
32	102008.4884
33	101860.5896
34	101672.1701
35	101526.0674
36	101351.6208
37	101192.0933
38	101069.6578
39	100909.5014
40	100792.7806
41	100632.2742
42	97667.61471
43	94813.19001
44	94715.09146
45	94580.39739
46	94471.70156
47	91717.37318
48	91585.64014
49	91457.46185
50	91382.05288
51	91270.16027
52	91188.93653
53	91067.71523
54	90951.05743
55	90874.37863
56	90796.52928
57	90713.55155
58	90610.0607
59	90512.98398
60	90430.89735
61	90334.58569
62	87684.35195
63	87601.31064
64	87515.04803
65	87466.14469
66	87387.34976
67	87326.2257
68	87237.23707
69	87171.73652
70	87096.63366
71	87051.49304
72	87005.91294
73	86935.34569
74	84396.09698
75	84362.62397
76	84331.15208
77	84294.48887
78	84248.42783
79	84189.25531
80	84149.82123
81	84093.99245
82	84047.04031
83	84026.27124
84	83997.09947
85	83935.88768
86	83897.90048
87	83836.05524
88	83786.50431
89	83743.42627
90	83696.77545
91	83680.36499
92	83665.887
93	83620.12103
94	83576.55911
95	83530.88365
96	83474.29965
97	83432.78256
98	83403.11931
99	83352.39735
100	83305.31354
101	83267.58808
102	83229.22314
103	83201.33545
104	83159.30333
105	80724.467
106	80700.10821
107	80658.95039
108	78294.63806
109	78267.8442
110	78236.32545
111	78210.84232
112	78171.59807
113	78148.60772
114	78135.25155
115	78106.20863
116	78088.50979
117	78072.63812
118	78048.84932
119	78026.94759
120	78007.77571
121	77985.53776
122	77967.47321
123	77933.60853
124	77915.77137
125	77892.5494
126	77873.75334
127	77858.89791
128	77832.47241
129	75530.90206
130	75525.6221
131	75508.0506
132	75492.59138
133	75475.41784
134	75457.72477
135	75445.95
136	73232.04834
137	73215.12765
138	73204.77225
139	73193.14051
140	73183.41591
141	73177.18874
142	73162.53602
143	73155.38502
144	73142.70485
145	73132.55358
146	73125.93877
147	73102.39891
148	73088.12832
149	73073.78297
150	73051.16679
151	73037.76212
152	73014.55777
153	72999.79154
154	72989.93943
155	70841.47975
156	70835.6563
157	70813.43025
158	70801.02515
159	70778.74846
160	70753.07096
161	70731.32986
162	70711.77162
163	70706.60068
164	70687.92475
165	70678.25028
166	70670.53177
167	70664.5691
168	70653.85056
169	68573.82104
170	66548.50254
171	66544.01734
172	66539.88241
173	66520.5813
174	66513.62901
175	66496.94773
176	66479.2058
177	66465.77894
178	66458.92409
179	66450.4956
180	66441.01797
181	64482.5009
182	64480.06875
183	64474.3472
184	64470.10265
185	64454.93608
186	64449.69691
187	64444.91411
