iter	RMSE
0	0.5258652059
1	0.4978616565
2	0.4820591011
3	0.4608523179
4	0.4379165794
5	0.4361612582
6	0.4345632417
7	0.4184618784
8	0.4168013729
9	0.4152142953
10	0.4135901435
11	0.4119534705
12	0.4021185617
13	0.4005040661
14	0.3989900302
15	0.3975666441
16	0.3961532378
17	0.3947027905
18	0.3931312308
19	0.3918105341
20	0.3904031921
21	0.389049703
22	0.3790547374
23	0.3777144009
24	0.3764851371
25	0.3752519466
26	0.3740229731
27	0.3728418939
28	0.3716288148
29	0.370425294
30	0.3693291073
31	0.3681648114
32	0.3535297204
33	0.3524125969
34	0.3512618275
35	0.3433991809
36	0.3423432577
37	0.3411755871
38	0.3400525919
39	0.3233599969
40	0.3221781761
41	0.3211626445
42	0.3201191874
43	0.3191708285
44	0.3182023359
45	0.3172256085
46	0.3162685582
47	0.3153918201
48	0.3017954525
49	0.3008613535
50	0.2999384578
51	0.2870684389
52	0.2861851686
53	0.2852618995
54	0.2797560012
55	0.2788211256
56	0.2780072683
57	0.2771930952
58	0.276382421
59	0.2755644418
60	0.2747594839
61	0.2739662712
62	0.2731758423
63	0.2724188761
64	0.2716730428
65	0.2593437768
66	0.2585987938
67	0.2579101375
68	0.2535856369
69	0.2528698395
70	0.2521822039
71	0.2411172345
72	0.2403826411
73	0.2396614048
74	0.2390085833
75	0.2267504871
76	0.226067451
77	0.2253996369
78	0.2247339893
79	0.224119632
80	0.2235020065
81	0.2228846534
82	0.2222782355
83	0.2216836013
84	0.2114230746
85	0.2107710871
86	0.2101969551
87	0.2096277958
88	0.2090627416
89	0.2084530243
90	0.2078765726
91	0.1974550231
92	0.1967948723
93	0.1962150082
94	0.1956419956
95	0.1951321804
96	0.1945931776
97	0.1940154186
98	0.1934716851
99	0.1830055993
100	0.1824586681
101	0.1762808749
102	0.1757038517
103	0.1751694278
104	0.1746756904
105	0.1740165302
106	0.1735013493
107	0.1652161029
108	0.1646709524
109	0.1641646522
110	0.1636676205
111	0.1559874276
112	0.1554433267
113	0.1549996353
114	0.154551653
115	0.154082075
116	0.1473481685
117	0.1468839455
118	0.1464481164
119	0.1458366747
120	0.1453781171
121	0.1449264276
122	0.1444557528
123	0.1440178819
124	0.1436232363
125	0.1432038746
126	0.1362034466
127	0.1357992207
128	0.1353122308
129	0.1348852567
130	0.1345380513
131	0.1341713446
132	0.1283453122
133	0.1279012619
134	0.1275477266
135	0.1271155691
136	0.1267179693
137	0.1262531665
138	0.1213993335
139	0.1209868944
140	0.1206870781
141	0.1203535407
142	0.1200388931
143	0.1143592576
144	0.114074918
145	0.1137403573
146	0.1134276263
147	0.1086943629
148	0.1083968396
149	0.1080301223
150	0.1077450232
151	0.1074596258
152	0.1071364793
153	0.1068481133
154	0.106547055
155	0.102352218
156	0.1020893184
157	0.1018189859
158	0.1015210562
159	0.09769529796
160	0.09740918082
161	0.09714510991
162	0.09687687322
163	0.09654529449
164	0.09630583889
165	0.09601655192
166	0.09577130682
167	0.09553427
168	0.09301902624
169	0.0927077725
170	0.09248946551
171	0.0922686214
172	0.09101087537
173	0.09080904154
174	0.09060575613
175	0.09041303541
176	0.08804464277
177	0.08780034271
178	0.08760597679
179	0.08508978039
180	0.0849097502
181	0.08120515953
182	0.08102544095
183	0.0807869175
184	0.08061028285
185	0.08034935829
186	0.08018064762
187	0.08000668966
188	0.07983587214
